Production process,Disturbances,Freshwater ecosystem use,GHG emissions,Marine ecosystem use,Non-GHG air pollutants,Other resource use,Soil pollutants,Solid waste,Terrestrial ecosystem use,Water pollutants,Water use
Oil and gas services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0
Oil and gas storage,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.8,0.4,0.0
Oil and gas transportation,0.0,0.8,0.8,0.8,0.0,0.0,0.4,0.0,0.8,0.4,0.8
Paper packaging production,0.0,0.0,0.0,0.0,0.6,0.0,0.8,0.0,0.0,0.8,1.0
Polymerization,0.0,0.0,0.0,0.0,0.6,0.0,0.8,0.0,0.8,0.8,1.0
Processed food and drink production,0.0,0.0,0.8,0.0,0.0,0.0,0.6,0.8,0.0,0.6,0.8
Processed food and drink production,0.0,0.0,0.8,0.0,0.0,0.0,0.6,0.8,0.0,0.6,0.8
Production of forest and wood-based products,0.0,0.0,0.8,0.0,0.0,0.0,0.8,0.0,0.8,0.8,0.0
Production of leisure or personal products,0.0,0.0,0.8,0.0,0.6,0.0,0.6,0.8,0.0,0.6,0.8
Production of leisure or personal products,0.0,0.0,0.8,0.0,0.6,0.0,0.6,0.8,0.0,0.6,0.8
Production of paper products,0.0,0.0,0.0,0.0,0.6,0.0,0.8,0.0,0.0,0.8,1.0
Provision of health care,0.0,0.0,0.8,0.0,0.0,0.0,0.6,0.6,0.0,0.6,0.0
Railway transportation,0.8,0.0,0.8,0.0,0.8,0.0,0.4,0.0,0.0,0.4,0.0
Real estate activities,0.0,0.0,0.8,0.0,0.6,0.0,0.6,0.8,1.0,0.6,0.0
Real estate activities,0.0,0.0,0.8,0.0,0.6,0.0,0.6,0.8,1.0,0.6,0.0
Real estate activities,0.0,0.0,0.8,0.0,0.6,0.0,0.6,0.8,1.0,0.6,0.0
Real estate activities,0.0,0.0,0.8,0.0,0.6,0.0,0.6,0.8,1.0,0.6,0.0
Recovery and separation of carbon dioxide,0.8,0.0,0.8,0.0,0.6,0.0,0.4,0.6,0.0,0.4,0.0
Restaurant provision,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0
Saltwater wild-caught fish,0.0,0.0,0.0,1.0,0.0,0.8,0.0,0.0,0.0,0.6,0.0
Manufacture of semiconductor equipment,0.0,0.0,0.8,0.0,0.0,0.0,0.8,0.0,0.0,0.8,0.8
Small-scale forestry,0.0,0.0,0.8,0.0,0.0,0.0,0.6,0.0,1.0,0.6,0.0
